id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,crime_rating
13047842,jg230250,2023-04-19t23:59:00.000,086xx s wallace st,2826,other offense,harassment by electronic means,apartment,False,False,622,6,71,26,1173810.0,1847690.0,2023,2023-04-26t16:53:52.000,41.737469673,-87.63879092,3
13047863,jg230233,2023-04-19t23:58:00.000,014xx w pratt blvd,0460,battery,simple,convenience store,True,False,2431,24,1,08b,1165565.0,1945281.0,2023,2023-04-26t16:53:52.000,42.005446228,-87.666219555,5
13047913,jg230238,2023-04-19t23:52:00.000,079xx s essex ave,0486,battery,domestic battery simple,apartment,False,True,422,4,46,08b,1194234.0,1852817.0,2023,2023-04-26t16:53:52.000,41.751061918,-87.563796175,5
13047803,jg230226,2023-04-19t23:49:00.000,039xx s kedzie ave,0326,robbery,aggravated vehicular hijacking,gas station,False,False,921,9,58,03,1155655.0,1878116.0,2023,2023-04-26t16:53:52.000,41.821345947,-87.704491075,4
13047857,jg230259,2023-04-19t23:45:00.000,067xx w diversey ave,143a,weapons violation,unlawful possession - handgun,street,True,False,2511,25,18,15,1130791.0,1917868.0,2023,2023-04-26t16:53:52.000,41.930894401,-87.794791659,5
13047815,jg230235,2023-04-19t23:37:00.000,037xx w douglas blvd,0560,assault,simple,apartment,False,True,1011,10,29,08a,1151816.0,1893202.0,2023,2023-04-26t16:53:52.000,41.862820065,-87.718178227,5
13047789,jg230222,2023-04-19t23:31:00.000,002xx n central ave,0820,theft,$500 and under,apartment,False,True,1512,15,25,06,1139003.0,1901091.0,2023,2023-04-26t16:53:52.000,41.884710837,-87.765022234,4
13049446,jg232058,2023-04-19t23:30:00.000,037xx w grand ave,1150,deceptive practice,credit card fraud,restaurant,False,False,2535,25,23,11,1151073.0,1908137.0,2023,2023-04-26t16:53:52.000,41.903817881,-87.720514218,4
13048239,jg230739,2023-04-19t23:30:00.000,058xx w lawrence ave,0810,theft,over $500,street,False,False,1622,16,15,06,1136405.0,1931316.0,2023,2023-04-26t16:53:52.000,41.967698462,-87.773838404,4
13048813,jg230223,2023-04-19t23:30:00.000,121xx s emerald ave,1310,criminal damage,to property,residence,False,True,523,5,53,14,1173513.0,1824402.0,2023,2023-04-26t16:53:52.000,41.67357052,-87.640565414,5
13049199,jg231891,2023-04-19t23:30:00.000,048xx w diversey ave,0910,motor vehicle theft,automobile,other (specify),False,False,2521,25,19,07,1143627.0,1918180.0,2023,2023-04-26t16:53:52.000,41.931519627,-87.747613504,4
13049944,jg232848,2023-04-19t23:30:00.000,001xx w oak st,0263,criminal sexual assault,aggravated - knife / cutting instrument,apartment,False,False,1832,18,8,02,1174734.0,1907126.0,2023,2023-04-26t16:53:52.000,41.900546929,-87.633632427,5
13047797,jg230240,2023-04-19t23:30:00.000,110xx s wentworth ave,0520,assault,aggravated - knife / cutting instrument,residence,False,False,513,5,49,04a,1176901.0,1831918.0,2023,2023-04-26t16:53:52.000,41.694120148,-87.627939823,5
13047839,jg230249,2023-04-19t23:30:00.000,062xx s mc vicker ave,0486,battery,domestic battery simple,residence,True,True,812,8,64,08b,1137149.0,1862499.0,2023,2023-04-26t16:53:52.000,41.778841815,-87.772755289,5
13048148,jg230675,2023-04-19t23:30:00.000,075xx s stony island ave,1320,criminal damage,to vehicle,parking lot / garage (non residential),False,False,411,4,43,14,1188234.0,1855148.0,2023,2023-04-26t16:53:52.000,41.757603554,-87.585708567,5
13047856,jg230252,2023-04-19t23:25:00.000,051xx s lake park ave,031a,robbery,armed - handgun,gas station,False,False,234,2,41,03,1187553.0,1871283.0,2023,2023-04-26t16:53:52.000,41.801895518,-87.58769156,4
13047805,jg230224,2023-04-19t23:20:00.000,001xx n michigan ave,1310,criminal damage,to property,hotel / motel,False,False,111,1,32,14,1177272.0,1901493.0,2023,2023-04-26t16:53:52.000,41.885032519,-87.624481261,5
13047846,jg230209,2023-04-19t23:17:00.000,087xx s stony island ave,0560,assault,simple,restaurant,False,False,412,4,48,08a,1188445.0,1847270.0,2023,2023-04-26t16:53:52.000,41.735980537,-87.585186322,5
13048728,jg230764,2023-04-19t23:16:00.000,031xx w irving park rd,0860,theft,retail theft,drug store,False,False,1733,17,16,06,1154535.0,1926422.0,2023,2023-04-26t16:53:52.000,41.953924785,-87.707307,4
