id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
13047842,jg230250,2023-04-19t23:59:00.000,086xx s wallace st,2826,other offense,harassment by electronic means,apartment,False,False,0622,006,71,26,1173810,1847690,2023,2023-04-26t16:53:52.000,41.737469673,-87.63879092
13047863,jg230233,2023-04-19t23:58:00.000,014xx w pratt blvd,0460,battery,simple,convenience store,True,False,2431,024,1,08b,1165565,1945281,2023,2023-04-26t16:53:52.000,42.005446228,-87.666219555
13047913,jg230238,2023-04-19t23:52:00.000,079xx s essex ave,0486,battery,domestic battery simple,apartment,False,True,0422,004,46,08b,1194234,1852817,2023,2023-04-26t16:53:52.000,41.751061918,-87.563796175
13047803,jg230226,2023-04-19t23:49:00.000,039xx s kedzie ave,0326,robbery,aggravated vehicular hijacking,gas station,False,False,0921,009,58,03,1155655,1878116,2023,2023-04-26t16:53:52.000,41.821345947,-87.704491075
13047857,jg230259,2023-04-19t23:45:00.000,067xx w diversey ave,143a,weapons violation,unlawful possession - handgun,street,True,False,2511,025,18,15,1130791,1917868,2023,2023-04-26t16:53:52.000,41.930894401,-87.794791659
13047815,jg230235,2023-04-19t23:37:00.000,037xx w douglas blvd,0560,assault,simple,apartment,False,True,1011,010,29,08a,1151816,1893202,2023,2023-04-26t16:53:52.000,41.862820065,-87.718178227
13047789,jg230222,2023-04-19t23:31:00.000,002xx n central ave,0820,theft,$500 and under,apartment,False,True,1512,015,25,06,1139003,1901091,2023,2023-04-26t16:53:52.000,41.884710837,-87.765022234
13049446,jg232058,2023-04-19t23:30:00.000,037xx w grand ave,1150,deceptive practice,credit card fraud,restaurant,False,False,2535,025,23,11,1151073,1908137,2023,2023-04-26t16:53:52.000,41.903817881,-87.720514218
13048239,jg230739,2023-04-19t23:30:00.000,058xx w lawrence ave,0810,theft,over $500,street,False,False,1622,016,15,06,1136405,1931316,2023,2023-04-26t16:53:52.000,41.967698462,-87.773838404
13048813,jg230223,2023-04-19t23:30:00.000,121xx s emerald ave,1310,criminal damage,to property,residence,False,True,0523,005,53,14,1173513,1824402,2023,2023-04-26t16:53:52.000,41.67357052,-87.640565414
13049199,jg231891,2023-04-19t23:30:00.000,048xx w diversey ave,0910,motor vehicle theft,automobile,other (specify),False,False,2521,025,19,07,1143627,1918180,2023,2023-04-26t16:53:52.000,41.931519627,-87.747613504
13049944,jg232848,2023-04-19t23:30:00.000,001xx w oak st,0263,criminal sexual assault,aggravated - knife / cutting instrument,apartment,False,False,1832,018,8,02,1174734,1907126,2023,2023-04-26t16:53:52.000,41.900546929,-87.633632427
13047797,jg230240,2023-04-19t23:30:00.000,110xx s wentworth ave,0520,assault,aggravated - knife / cutting instrument,residence,False,False,0513,005,49,04a,1176901,1831918,2023,2023-04-26t16:53:52.000,41.694120148,-87.627939823
13047839,jg230249,2023-04-19t23:30:00.000,062xx s mc vicker ave,0486,battery,domestic battery simple,residence,True,True,0812,008,64,08b,1137149,1862499,2023,2023-04-26t16:53:52.000,41.778841815,-87.772755289
13048148,jg230675,2023-04-19t23:30:00.000,075xx s stony island ave,1320,criminal damage,to vehicle,parking lot / garage (non residential),False,False,0411,004,43,14,1188234,1855148,2023,2023-04-26t16:53:52.000,41.757603554,-87.585708567
13047856,jg230252,2023-04-19t23:25:00.000,051xx s lake park ave,031a,robbery,armed - handgun,gas station,False,False,0234,002,41,03,1187553,1871283,2023,2023-04-26t16:53:52.000,41.801895518,-87.58769156
13047805,jg230224,2023-04-19t23:20:00.000,001xx n michigan ave,1310,criminal damage,to property,hotel / motel,False,False,0111,001,32,14,1177272,1901493,2023,2023-04-26t16:53:52.000,41.885032519,-87.624481261
13047846,jg230209,2023-04-19t23:17:00.000,087xx s stony island ave,0560,assault,simple,restaurant,False,False,0412,004,48,08a,1188445,1847270,2023,2023-04-26t16:53:52.000,41.735980537,-87.585186322
13048728,jg230764,2023-04-19t23:16:00.000,031xx w irving park rd,0860,theft,retail theft,drug store,False,False,1733,017,16,06,1154535,1926422,2023,2023-04-26t16:53:52.000,41.953924785,-87.707307
13047808,jg230213,2023-04-19t23:04:00.000,015xx s lynn white dr,143a,weapons violation,unlawful possession - handgun,park property,True,False,0132,001,33,15,1181497,1893508,2023,2023-04-26t16:53:52.000,41.863024472,-87.609213967
13047829,jg230220,2023-04-19t23:00:00.000,083xx s hermitage ave,0498,battery,"agg. domestic battery - hands, fists, feet, serious injury",residence,True,True,0614,006,71,04b,1166133,1849311,2023,2023-04-26t16:53:52.000,41.742084508,-87.666871364
